feature,coef,clean_feature
word_tfidf__addresses,-0.1715752365889644,word: addresses
word_tfidf__addressing,-0.04698380647022684,word: addressing
word_tfidf__adds,0.006392208784146958,word: adds
word_tfidf__adele,-0.004797216453344511,word: adele
word_tfidf__adjacent,-0.06482890175403713,word: adjacent
word_tfidf__adjoining,0.00032249833836897645,word: adjoining
word_tfidf__adjust,-0.12212389179363363,word: adjust
word_tfidf__adjusting,0.010001916941170719,word: adjusting
word_tfidf__adjusts,0.004048062777544315,word: adjusts
word_tfidf__adler,-0.022783003541162323,word: adler
word_tfidf__adm,-0.134794241590338,word: adm
word_tfidf__administration,-0.01105890335806412,word: administration
word_tfidf__administrator,0.05937757559763872,word: administrator
word_tfidf__admiral,-0.1175806341951926,word: admiral
word_tfidf__admiration,0.05380632374882227,word: admiration
word_tfidf__admire,0.03618370833167316,word: admire
word_tfidf__admires,-0.028359127171837965,word: admires
word_tfidf__admiring,0.060555209131496285,word: admiring
word_tfidf__admit,-0.030512462339536084,word: admit
word_tfidf__adrenaline,-0.01596129479786454,word: adrenaline
word_tfidf__adrian,-0.02426216065071924,word: adrian
word_tfidf__adult,-0.012071942058963463,word: adult
word_tfidf__adults,-0.03788924256429005,word: adults
word_tfidf__advance,0.023775319644429707,word: advance
word_tfidf__advanced,0.008113619411266216,word: advanced
word_tfidf__advances,-0.06336237138389915,word: advances
word_tfidf__advancing,0.046689201733445145,word: advancing
word_tfidf__advantage,-0.02813319091741476,word: advantage
word_tfidf__adventure,-0.06634295459674829,word: adventure
word_tfidf__advertising,0.03283593339840425,word: advertising
word_tfidf__advice,0.08807628113535056,word: advice
word_tfidf__advocate,0.06525777204407997,word: advocate
word_tfidf__aerial,-0.025968564097633928,word: aerial
word_tfidf__affair,0.0011606000862859893,word: affair
word_tfidf__affairs,-0.03719916417311605,word: affairs
word_tfidf__affected,-0.029853197588884408,word: affected
word_tfidf__affection,0.016632600280084262,word: affection
word_tfidf__affectionately,-0.06502954655650507,word: affectionately
word_tfidf__afford,0.04313002022323893,word: afford
word_tfidf__afraid,-0.010443725528776683,word: afraid
word_tfidf__africa,0.1318460061919826,word: africa
word_tfidf__african,0.008120162310743096,word: african
word_tfidf__african american,-0.15200110786151108,word: african american
word_tfidf__aft,0.03795204121869943,word: aft
word_tfidf__afternoon,0.03949109388888782,word: afternoon
word_tfidf__age,0.03951070361487106,word: age
word_tfidf__aged,-0.05431520910982447,word: aged
word_tfidf__aged man,0.01490593701395195,word: aged man
word_tfidf__agency,-0.009274033753967455,word: agency
word_tfidf__agent,-0.07473350336679993,word: agent
word_tfidf__agents,-0.0759951553969126,word: agents
word_tfidf__ages,-0.014592358041956365,word: ages
word_tfidf__aggressive,-0.06294355517770701,word: aggressive
word_tfidf__aghast,-0.010520325593968234,word: aghast
word_tfidf__agitated,0.0706278913006424,word: agitated
word_tfidf__ago,-0.016557724184261352,word: ago
word_tfidf__agony,0.016256370882439135,word: agony
word_tfidf__agree,-0.04308552685312174,word: agree
word_tfidf__agreed,-0.0839619813553511,word: agreed
word_tfidf__agreement,0.040056956065238535,word: agreement
word_tfidf__agrees,-0.047144691611764815,word: agrees
word_tfidf__ah,0.07874028977857135,word: ah
word_tfidf__ahh,-0.045315259930011856,word: ahh
word_tfidf__ahhh,0.12392914320698335,word: ahhh
word_tfidf__ahmed,0.017726758802777992,word: ahmed
word_tfidf__aid,-0.09774651232663903,word: aid
word_tfidf__aide,-0.04212838263668821,word: aide
word_tfidf__aides,-0.03266874383167202,word: aides
word_tfidf__aids,0.09036132606917872,word: aids
word_tfidf__aim,0.05082885831123074,word: aim
word_tfidf__aimed,0.06516535697801526,word: aimed
word_tfidf__aiming,-0.06624836269536469,word: aiming
word_tfidf__aims,-0.1407261202498813,word: aims
word_tfidf__ain,0.059309014414060286,word: ain
word_tfidf__ain gonna,0.04850576225636466,word: ain gonna
word_tfidf__ain got,0.11719982886569265,word: ain got
word_tfidf__air force,-0.03595155083883873,word: air force
word_tfidf__airborne,-0.15559195598884382,word: airborne
word_tfidf__aircraft,-0.09279771344830398,word: aircraft
word_tfidf__airfield,0.03570870477001342,word: airfield
word_tfidf__airline,0.02656292002584209,word: airline
word_tfidf__airlock,0.02296196821589589,word: airlock
word_tfidf__airplane,0.05721664688951039,word: airplane
word_tfidf__airport,0.0006049621702688781,word: airport
word_tfidf__airport day,-0.03951610652936559,word: airport day
word_tfidf__aisle,0.0182145636962673,word: aisle
word_tfidf__aisles,0.02211465747283561,word: aisles
word_tfidf__ajar,-0.08001318531343958,word: ajar
word_tfidf__al,0.1421893444690908,word: al
word_tfidf__alabama,0.1842218195720173,word: alabama
word_tfidf__aladdin,0.11589940305037627,word: aladdin
word_tfidf__alan,-0.04133899206527959,word: alan
word_tfidf__alarm,-0.008484097267455646,word: alarm
word_tfidf__alarm clock,0.05793097242136188,word: alarm clock
word_tfidf__alarmed,-0.02326113237406601,word: alarmed
word_tfidf__alarms,0.079178444322863,word: alarms
word_tfidf__albert,0.11102870321343633,word: albert
word_tfidf__album,0.06140382836553541,word: album
word_tfidf__alcohol,0.010057987183733347,word: alcohol
word_tfidf__alcove,0.05075848073036877,word: alcove
